transaction_id,item_name,category,quantity_sold,unit_cost,unit_price,profit,sold_date,year,month,day_of_week,holiday_spike
58853e54-0529-4966-a6e1-946deb7d1c86,Eggs,Dairy,6,1.5,2.27,4.62,2024-09-23,2024,9,0,False
f134dfb3-532e-4aaf-8ec5-1d9ead7b2136,Bread,Bakery,5,0.8,1.31,2.55,2023-10-09,2023,10,0,False
cd629f53-758e-42e8-a3a0-65752e6f397f,Cheese,Dairy,7,2.5,4.82,16.24,2023-11-17,2023,11,4,False
1090fdaf-e981-4027-bd44-ca7750d4ae3b,Salt,Pantry,3,0.2,0.59,1.17,2022-07-02,2022,7,5,False
29bada0e-e745-4a0a-84d7-6335b8238d6c,Dish Soap,Household,6,1.2,2.86,9.96,2023-12-08,2023,12,4,False
fb417c88-434f-4735-9cfd-a7f28051f37e,Potato,Vegetables,3,0.25,0.45,0.6,2021-01-04,2021,1,0,False
19212582-ef59-4253-a6ba-62a535fdf680,Toilet Paper,Household,4,3.0,5.71,10.84,2023-06-17,2023,6,5,False
3cdb17f5-b678-4f4f-a04d-df347735254d,Muffin,Bakery,6,0.85,1.76,5.46,2023-06-21,2023,6,2,False
cd1f54bb-9567-4e24-a7d8-a12b43020c05,Butter,Dairy,6,1.8,2.85,6.3,2020-10-13,2020,10,1,False
95797d38-33c3-467e-a5bc-3fd0e1424741,Water,Beverages,6,0.25,0.66,2.46,2022-03-31,2022,3,3,False
e5de50e3-9cb8-45bd-baea-0f6b0a37a44b,Strawberry,Fruits,6,1.5,2.68,7.08,2020-11-03,2020,11,1,False
dc615fc5-2a30-4c30-8b30-0c0e236bf124,Trash Bags,Household,7,2.0,3.4,9.8,2021-08-31,2021,8,1,False
ea093644-5d55-443f-9876-d8ee2343b31a,Dish Soap,Household,3,1.2,2.0,2.4,2024-08-30,2024,8,4,False
514e73bf-8b0e-4fcc-b4ba-e4ef7c7b3eaf,Bacon,Meat,6,3.5,6.98,20.88,2022-01-05,2022,1,2,False
2b669ed3-c6dc-4d09-8b4b-f8cfe30483ab,Bagel,Bakery,6,0.7,1.71,6.06,2024-10-25,2024,10,4,False
a65ccfbd-cc3d-4fc8-9bdd-24168d139841,Cake,Bakery,7,5.0,10.01,35.07,2022-11-16,2022,11,2,False
